iter	Passed	Remaining
1384	1643059	1915913
1385	1644218	1914695
1386	1645372	1913472
1387	1646561	1912288
1388	1647714	1911064
1389	1648832	1909798
1390	1650042	1908639
1391	1651219	1907442
1392	1652397	1906247
1393	1653737	1905238
1394	1654988	1904126
1395	1656154	1902917
1396	1657324	1901711
1397	1658502	1900515
1398	1659685	1899325
1399	1660817	1898076
1400	1661955	1896835
1401	1663093	1895593
1402	1664203	1894321
1403	1665354	1893095
1404	1666535	1891903
1405	1667710	1890704
1406	1668858	1889475
1407	1670020	1888261
1408	1671232	1887105
1409	1672432	1885934
1410	1673561	1884684
1411	1674733	1883482
1412	1675853	1882222
1413	1677078	1881080
1414	1678288	1879920
1415	1679459	1878717
1416	1680633	1877517
1417	1681810	1876322
1418	1683018	1875159
1419	1684206	1873976
1420	1685339	1872731
1421	1686516	1871534
1422	1687650	1870291
1423	1688924	1869202
1424	1690131	1868040
1425	1691304	1866839
1426	1692379	1865531
1427	1693539	1864316
1428	1694623	1863019
1429	1695778	1861798
1430	1696973	1860622
1431	1698123	1859397
1432	1699308	1858210
